KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
9,24. Feb. 2020,—,14,—,—,—,—,2,—,—,—,—,—,—,—,—,—,16,.0—,
9,25. Feb. 2020,1,14,—,—,—,—,2,—,—,1,—,—,—,—,—,—,18,.0002,
9,26. Feb. 2020,3,14,—,—,—,—,2,—,—,2,—,—,—,—,—,—,21,.0003,
9,27. Feb. 2020,6,14,—,—,—,—,2,—,—,4,—,—,—,—,—,—,26,.0005,
9,28. Feb. 2020,10,15,—,—,—,—,2,—,—,25,—,—,—,—,1,—,53,.0027,
9,29. Feb. 2020,14,15,—,—,—,—,5,—,—,30,1,—,—,—,1,—,66,.0013,
9,1. März 2020,15,19,—,—,1,1,10,—,1,66,2,—,—,—,2,—,117,.0051,
15,9. Apr. 2020,21.603,28.827,4.202,1.578,445,3.320,5.242,572,6.804,21.961,4.336,1.693,3.261,1.075,1.932,1.351,108.202,4.974,[38]
15,10. Apr. 2020,22.433,30.363,4.349,1.691,454,3.551,5.694,586,7.114,23.028,4.440,1.854,3.402,1.121,2.029,1.416,113.525,5.323,[39]
15,11. Apr. 2020,23.617,31.453,4.458,1.764,469,3.663,5.808,601,7.343,23.644,4.622,2.016,3.565,1.135,2.065,1.435,117.658,4.133,[40]
15,12. Apr. 2020,24.078,32.282,4.567,1.857,480,3.742,5.859,605,7.602,24.267,4.734,2.058,3.600,1.166,2.118,1.464,120.479,2.821,[41]
16,13. Apr. 2020,24.570,33.015,4.601,1.880,486,3.770,6.114,618,7.723,24.883,4.810,2.079,3.655,1.193,2.134,1.485,123.016,2.537,[42]
16,14. Apr. 2020,25.040,33.569,4.668,1.916,492,3.808,6.183,619,7.885,25.300,4.880,2.112,3.751,1.207,2.164,1.504,125.098,2.082,[43]
16,15. Apr. 2020,25.438,34.294,4.722,1.950,500,3.869,6.347,624,8.019,25.835,5.004,2.145,3.819,1.223,2.245,1.550,127.584,2.486,[44]
16,16. Apr. 2020,25.881,35.142,4.848,2.058,507,3.953,6.470,634,8.188,26.383,5.087,2.201,3.955,1.248,2.294,1.601,130.450,2.866,[45]
16,17. Apr. 2020,26.543,36.027,4.945,2.120,556,4.005,6.705,634,8.442,27.030,5.211,2.254,4.048,1.279,2.349,1.682,133.830,3.380,[46]
16,18. Apr. 2020,27.258,36.881,5.066,2.161,567,4.118,6.916,645,8.649,28.006,5.324,2.289,4.140,1.315,2.387,1.717,137.439,3.609,[47]
16,19. Apr. 2020,27.883,37.407,5.159,2.221,585,4.167,7.108,651,8.797,28.471,5.432,2.303,4.190,1.350,2.417,1.756,139.897,2.458,[48]
17,20. Apr. 2020,28.253,37.849,5.196,2.238,604,4.185,7.177,653,8.900,28.971,5.523,2.314,4.229,1.369,2.426,1.785,141.672,1.775,[49]
17,21. Apr. 2020,28.712,38.310,5.237,2.275,609,4.204,7.231,655,9.098,29.389,5.561,2.328,4.253,1.383,2.414(j),1.798,143.457,1.785,[50]
17,22. Apr. 2020,28.898,38.814,5.312,2.389,624,4.204,7.380,656,9.236,30.185,5.593,2.367,4.273,1.395,2.496,1.872,145.694,2.237,[51]
17,23. Apr. 2020,29.443,39.395,5.324,2.447,672,4.286,7.593,659,9.391,30.584,5.643,2.395,4.327,1.425,2.530,1.932,148.046,2.352,[52]
17,24. Apr. 2020,29.792,39.939,5.459,2.536,707,4.358,7.712,661,9.544,31.106,5.731,2.445,4.377,1.436,2.557,2.023,150.383,2.337,[53]
17,25. Apr. 2020,30.169,40.547,5.525,2.627,719,4.400,7.837,667,9.691,31.465,5.767,2.468,4.406,1.480,2.612,2.058,152.438,2.055,[54]
17,26. Apr. 2020,30.761,40.912,5.600,2.694,739,4.429,7.946,673,9.785,31.669,5.835,2.482,4.428,1.494,2.630,2.098,154.175,1.737,[55]
18,27. Apr. 2020,31.043,41.070,5.638,2.721,754,4.475,7.979,674,9.847,31.879,5.879,2.503,4.458,1.515,2.638,2.120,155.193,1.018,[56]
18,28. Apr. 2020,31.196,41.406,5.669,2.747,759,4.505,8.026,675,9.926,32.184,5.928,2.509,4.490,1.520,2.653,2.144,156.337,1.144,[57]
18,29. Apr. 2020,31.336,41.830,5.734,2.768,797,4.525,8.184,687,9.972,32.429,5.982,2.514,4.509,1.525,2.679,2.170,157.641,1.304,[58]
18,30. Apr. 2020,31.609,42.080,5.827,2.831,827,4.562,8.304,690,10.067,32.687,6.029,2.552,4.561,1.549,2.690,2.254,159.119,1.478,[59]
18,1. Mai 2020,31.919,42.489,5.887,2.872,859,4.604,8.376,693,10.141,33.058,6.086,2.581,4.592,1.564,2.714,2.323,160.758,1.639,[60]
18,2. Mai 2020,32.146,42.658,5.943,2.886,871,4.609,8.486,695,10.246,33.216,6.099,2.597,4.617,1.571,2.728,2.335,161.703,.0945,[61]
18,3. Mai 2020,32.291,42.792,5.976,2.905,875,4.631,8.524,698,10.283,33.428,6.133,2.605,4.696,1.576,2.738,2.345,162.496,.0793,[62]
19,4. Mai 2020,32.411,42.997,6.010,2.914,893,4.636,8.549,699,10.325,33.560,6.150,2.608,4.702,1.578,2.788,2.355,163.175,.0679,[63]
19,5. Mai 2020,32.482,43.162,6.042,2.940,895,4.644,8.585,703,10.380,33.728,6.160,2.618,4.745,1.585,2.799,2.392,163.860,.0685,[64]
19,6. Mai 2020,32.576,43.371,6.092,2.969,916,4.664,8.642,711,10.453,33.977,6.191,2.627,4.784,1.590,2.815,2.429,164.807,.0947,[65]
