Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Sdafrika,–,–,–,–,–,,–,3,51,240,1.187,1.655,2.173,3.158,4.546,6.783,10.015
Sudan,–,–,–,–,–,,–,–,1,2,5,12,19,92,237,592,1.365
Sdsudan,–,–,–,–,–,,–,–,–,–,–,1,4,4,6,46,156
Tansania,–,–,–,–,–,,–,–,–,6,14,22,32,171,300,480,509
Togo,–,–,–,–,–,,–,1,1,15,28,44,76,83,98,124,173
Tschad,–,–,–,–,–,,–,–,–,1,5,9,18,33,46,117,322
Tunesien,–,–,–,–,–,,–,2,18,60,278,574,707,866,949,1.009,1.032
Uganda,–,–,–,–,–,,–,–,–,1,14,48,54,55,75,88,121
ZentralafrikanischeRepublik,–,–,–,–,–,,–,–,1,3,6,9,11,12,19,72,179
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chinavolk,6,80,361,909,1.771,,2.914,3.122,3.218,3.274,3.314,3.340,3.351,4.636,4.637,4.637,4.637
Japan,–,–,–,–,1,,6,7,24,41,56,73,102,171,351,510,621
Japan,–,–,–,–,–,,6,7,7,7,7,7,7,7,13,13,13
Sdkorea,–,–,–,–,–,,22,51,75,111,126,186,217,236,243,252,256
Mongolei,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
ChinaTaiwan,–,–,–,–,1,,1,1,1,2,5,5,6,6,6,6,6
,,,,,,,,,,,,,,,,,
Afghanistan,–,–,–,–,–,,–,–,–,1,4,7,19,33,50,72,120
Bangladesch,–,–,–,–,–,,–,–,–,2,5,8,34,91,145,177,228
Indien,–,–,–,–,–,,–,–,2,7,29,109,308,543,872,1.373,2.206
Malediven,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,1,3
Nepal,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
Pakistan,–,–,–,–,–,,–,–,–,5,25,50,93,176,281,457,667
SriLanka,–,–,–,–,–,,–,–,–,–,–,5,7,7,7,7,9
,,,,,,,,,,,,,,,,,
Brunei,–,–,–,–,–,,–,–,–,–,–,1,1,1,1,1,1
Indonesien,–,–,–,–,–,,–,–,5,48,122,198,373,582,743,845,973
Kambodscha,–,–,–,–,–,,–,–,–,–,–,–,1,0,0,0,0
Malaysia,–,–,–,–,–,,–,–,–,–,–,61,76,89,98,105,108
Myanmar,–,–,–,–,–,,–,–,–,–,–,1,4,5,5,6,6
Philippinen,–,–,1,1,1,,1,1,12,25,78,152,297,409,501,607,719
Singapur,–,–,–,–,–,,–,–,–,–,–,6,8,11,12,18,20
Thailand,–,–,–,–,–,,1,1,1,1,9,23,40,47,52,54,56
,,,,,,,,,,,,,,,,,
Kasachstan,–,–,–,–,–,,–,–,–,–,–,5,12,17,25,27,31
Kirgisistan,–,–,–,–,–,,–,–,–,–,–,4,5,7,8,10,12
Tadschikistan,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,4,20
